"Ensembl","Entrez","Gene.Symbol","Length"
"ENSMUSG00000092083",98741,"Kcnb2",15165
"ENSMUSG00000088829",115485805,"Gm25227",112
"ENSMUSG00000077377",115485792,"Gm25168",132
"ENSMUSG00000025925",21749,"Terf1",4608
"ENSMUSG00000032719",226866,"Sbspon",2748
"ENSMUSG00000100652",665434,"Gm7634",553
"ENSMUSG00000067795",75799,"4930444P10Rik",2063
"ENSMUSG00000043716",19989,"Rpl7",2687
"ENSMUSG00000025921",98711,"Rdh10",4160
"ENSMUSG00000025920",29819,"Stau2",6747
"ENSMUSG00000089982",102634042,"Gm7568",1003
"ENSMUSG00000025939",66799,"Ube2w",4930
"ENSMUSG00000079658",67923,"Eloc",3026
"ENSMUSG00000097744",329101,"D030040B21Rik",2788
"ENSMUSG00000025940",70397,"Tmem70",1820
"ENSMUSG00000025779",17087,"Ly96",1021
"ENSMUSG00000091020",545306,"Gm5828",1860
"ENSMUSG00000042686",57339,"Jph1",4998
"ENSMUSG00000025777",14545,"Gdap1",7731
"ENSMUSG00000101589",108212,"Rbm6-ps1",2870
"ENSMUSG00000089534",115485812,"Gm25166",111
"ENSMUSG00000067780",94227,"Pi15",6923
"ENSMUSG00000100053",102634738,"Gm28154",4218
"ENSMUSG00000085125",102634913,"Gm16070",8345
"ENSMUSG00000025776",83691,"Crispld1",4515
"ENSMUSG00000099473",100417711,"Gm18775",586
"ENSMUSG00000099591",100416210,"Gm17969",2557
"ENSMUSG00000025774",78081,"Crisp4",2737
"ENSMUSG00000070977",654454,"Defb44-ps",219
"ENSMUSG00000073735",654460,"Defb18",258
"ENSMUSG00000067773",77673,"Defb41",610
"ENSMUSG00000101685",100415956,"Gm17837",985
"ENSMUSG00000101306",383499,"Gm5252",909
"ENSMUSG00000088800",115485820,"Gm24075",72
"ENSMUSG00000089787",102635013,"Gm15825",918
"ENSMUSG00000042596",226896,"Tfap2d",1954
"ENSMUSG00000025927",21419,"Tfap2b",6338
"ENSMUSG00000100204",226901,"Gm4849",2246
"ENSMUSG00000043760",241035,"Pkhd1",14310
"ENSMUSG00000089914",75028,"4930486I03Rik",788
"ENSMUSG00000070175",115487586,"Gm24162",102
"ENSMUSG00000065559",387202,"Mir206",73
"ENSMUSG00000099906",105661730,"Lincmd1",5276
"ENSMUSG00000065480",723817,"Mir133b",119
"ENSMUSG00000025929",16171,"Il17a",1171
"ENSMUSG00000041872",257630,"Il17f",2022
"ENSMUSG00000041859",17215,"Mcm3",3752
"ENSMUSG00000099714",100417924,"Gm20587",1186
"ENSMUSG00000088858",115485821,"Gm24723",132
"ENSMUSG00000097934",77741,"6720483E21Rik",1120
"ENSMUSG00000025931",74229,"Paqr8",5488
"ENSMUSG00000077314",115485789,"Gm24171",131
"ENSMUSG00000041809",71877,"Efhc1",2208
"ENSMUSG00000041779",170829,"Tram2",6661
"ENSMUSG00000025933",75712,"Tmem14a",1351
"ENSMUSG00000025934",14859,"Gsta3",4344
"ENSMUSG00000025936",241041,"Gm4956",1365
"ENSMUSG00000067750",368204,"Khdc1a",1987
"ENSMUSG00000041722",433278,"Khdc1c",1946
"ENSMUSG00000085079",98582,"Khdc1b",2236
"ENSMUSG00000028033",226922,"Kcnq5",7689
"ENSMUSG00000082935",665489,"Gm7658",1124
"ENSMUSG00000099692",435612,"Gm5696",552
"ENSMUSG00000041670",116837,"Rims1",7080
"ENSMUSG00000073730",66755,"Ppp1r14bl",1781
"ENSMUSG00000089553",115485803,"Gm24176",121
"ENSMUSG00000065405",387225,"Mir30a",82
"ENSMUSG00000065567",723964,"Mir30c-2",84
"ENSMUSG00000101226",100418001,"Gm20954",644
"ENSMUSG00000026158",70155,"Ogfrl1",8109
"ENSMUSG00000097920",665782,"Gm7784",989
"ENSMUSG00000099503",105243890,"Gm28822",778
"ENSMUSG00000026156",280645,"B3gat2",6203
"ENSMUSG00000026155",98366,"Smap1",3575
"ENSMUSG00000026154",68002,"Sdhaf4",874
"ENSMUSG00000026153",68187,"Fam135a",7773
"ENSMUSG00000026147",12839,"Col9a1",5068
"ENSMUSG00000026141",12823,"Col19a1",6887
"ENSMUSG00000077463",115485770,"Gm26418",137
"ENSMUSG00000099997",665829,"Tubb4b-ps2",1337
"ENSMUSG00000067736",100142658,"Gm10222",294
"ENSMUSG00000100862",100503946,"Gm10925",678
"ENSMUSG00000073725",68421,"Lmbrd1",5960
"ENSMUSG00000100450",669171,"Gm9443",816
"ENSMUSG00000033569",210933,"Adgrb3",18559
"ENSMUSG00000104257",100504323,"Gm20172",1551
"ENSMUSG00000096866",115487583,"Gm22260",107
"ENSMUSG00000084740",115487617,"Gm25294",104
"ENSMUSG00000101618",100417198,"Gm18443",556
"ENSMUSG00000099458",100418295,"Gm19123",651
"ENSMUSG00000088111",115485817,"Gm24064",106
"ENSMUSG00000073722",210940,"4931408C20Rik",4318
"ENSMUSG00000095256",115487689,"n-R5s209",119
"ENSMUSG00000101514",433281,"Gm5524",2002
"ENSMUSG00000101033",100417712,"Gm18776",654
"ENSMUSG00000101372",100418140,"Gm19028",1873
"ENSMUSG00000048411",210962,"Gm597",2887
"ENSMUSG00000058590",623924,"Gm6462",304
"ENSMUSG00000101235",100416315,"Gm18033",550
"ENSMUSG00000099257",102465174,"Mir6342",125
"ENSMUSG00000099492",433283,"Gm5525",1312
"ENSMUSG00000048874",213109,"Phf3",14190
"ENSMUSG00000026064",19243,"Ptp4a1",5763
"ENSMUSG00000086726",669402,"Gm9458",727
"ENSMUSG00000050217",266744,"Lgsn",1937
"ENSMUSG00000026063",74708,"Dnaaf6",1451
"ENSMUSG00000077664",115485790,"Gm26145",127
"ENSMUSG00000070960",100503415,"Gm19680",1513
"ENSMUSG00000088620",115487630,"Gm23032",107
"ENSMUSG00000026058",170771,"Khdrbs2",10291
"ENSMUSG00000064688",115487604,"Gm25814",107
"ENSMUSG00000102865",408192,"Gm9839",1437
"ENSMUSG00000091318",408191,"Gm5415",3609
"ENSMUSG00000089489",115487635,"Gm24732",63
"ENSMUSG00000100481",633498,"Gm7114",1789
"ENSMUSG00000100590",213711,"Gm4785",751
"ENSMUSG00000088750",115487628,"Gm24901",110
"ENSMUSG00000065223",115487597,"Gm25792",100
"ENSMUSG00000100318",100417744,"Gm18799",913
"ENSMUSG00000065260",115487581,"Gm23453",106
"ENSMUSG00000026134",19076,"Prim2",5938
"ENSMUSG00000103746",67503,"1700001G17Rik",889
"ENSMUSG00000004768",19335,"Rab23",8285
"ENSMUSG00000042215",213539,"Bag2",3059
"ENSMUSG00000042197",98403,"Zfp451",15839
"ENSMUSG00000081402",433287,"Gm15455",2557
"ENSMUSG00000042182",320705,"Bend6",3421
"ENSMUSG00000026131",13518,"Dst",38847
"ENSMUSG00000084506",115487616,"Gm23792",93
"ENSMUSG00000101206",383629,"Gm5266",1162
"ENSMUSG00000092852",100628580,"Mir5103",79
"ENSMUSG00000042111",69668,"Ccdc115",2543
"ENSMUSG00000026127",27993,"Imp4",8553
"ENSMUSG00000026126",19253,"Ptpn18",6492
"ENSMUSG00000026125",21755,"Prss39",1333
"ENSMUSG00000026124",12627,"Cfc1",1040
"ENSMUSG00000101803",102635016,"Gm28419",475
"ENSMUSG00000037529",21756,"Prss40",2105
"ENSMUSG00000045174",211383,"Amer3",4392
"ENSMUSG00000037509",226970,"Arhgef4",9561
"ENSMUSG00000037503",214469,"Fam168b",5219
"ENSMUSG00000026123",226971,"Plekhb2",7987
"ENSMUSG00000103716",100502882,"Gm19430",2137
"ENSMUSG00000077231",115485778,"Gm25096",129
"ENSMUSG00000064601",115487610,"Gm25634",105
"ENSMUSG00000103096",666283,"Gm8022",904
"ENSMUSG00000045216",50785,"Hs6st1",5542
"ENSMUSG00000037470",320011,"Uggt1",12853
"ENSMUSG00000098752",102465540,"Mir6897",62
"ENSMUSG00000047180",214854,"Neurl3",3217
"ENSMUSG00000037447",214855,"Arid5a",12540
"ENSMUSG00000010453",226976,"Kansl3",6742
"ENSMUSG00000098680",102465541,"Mir6898",77
"ENSMUSG00000037432",100534273,"Fer1l5",6318
"ENSMUSG00000001143",214895,"Lman2l",7359
"ENSMUSG00000037408",94220,"Cnnm4",4829
"ENSMUSG00000001138",94218,"Cnnm3",6420
"ENSMUSG00000067653",78321,"Ankrd23",2697
"ENSMUSG00000079610",109346,"Ankrd39",4654
"ENSMUSG00000026121",20353,"Sema4c",4593
"ENSMUSG00000046337",381337,"Fam178b",3190
"ENSMUSG00000061518",12859,"Cox5b",1552
"ENSMUSG00000037351",226977,"Actr1b",4274
"ENSMUSG00000102416",71166,"4933424G06Rik",1181
"ENSMUSG00000026117",22637,"Zap70",2992
"ENSMUSG00000097291",100417791,"Gm18828",1012
"ENSMUSG00000026116",56030,"Tmem131",9413
"ENSMUSG00000095944",115487663,"n-R5s210",119
"ENSMUSG00000050122",70853,"Vwa3b",5386
"ENSMUSG00000026114",12790,"Cnga3",3957
"ENSMUSG00000026113",269180,"Inpp4a",10387
"ENSMUSG00000026112",76178,"Coa5",5220
"ENSMUSG00000026111",67387,"Unc50",1579
"ENSMUSG00000026110",269181,"Mgat4a",12881
"ENSMUSG00000103948",77633,"4930594C11Rik",2755
"ENSMUSG00000026090",72097,"Cracdl",5075
"ENSMUSG00000060771",211484,"Tsga10",10662
"ENSMUSG00000037216",623661,"Lipt1",2051
"ENSMUSG00000026088",69028,"Mitd1",2770
"ENSMUSG00000026087",107734,"Mrpl30",3226
"ENSMUSG00000061584",332427,"Lyg2",2564
"ENSMUSG00000026085",69541,"Lyg1",888
"ENSMUSG00000058407",98258,"Txndc9",9102
"ENSMUSG00000026083",226982,"Eif5b",9753
"ENSMUSG00000026082",56210,"Rev1",6168
"ENSMUSG00000102716",329123,"Gm5099",1848
"ENSMUSG00000037138",16764,"Aff3",6579
"ENSMUSG00000048814",381338,"Lonrf2",7506
"ENSMUSG00000026080",98388,"Chst10",11964
"ENSMUSG00000102447",625775,"Gm6621",772
"ENSMUSG00000067604",433292,"Nms",1001
"ENSMUSG00000026078",68833,"Pdcl3",4219
"ENSMUSG00000098833",102466631,"Mir6349",97
"ENSMUSG00000026077",18143,"Npas2",4791
"ENSMUSG00000092563",100041999,"Gm3617",555
"ENSMUSG00000073702",114641,"Rpl31",1662
"ENSMUSG00000003134",54610,"Tbc1d8",5239
"ENSMUSG00000065629",115487696,"Gm24826",215
"ENSMUSG00000003135",52846,"Cnot11",3508
"ENSMUSG00000077704",100217461,"Snord89",110
"ENSMUSG00000048234",67702,"Rnf149",2838
"ENSMUSG00000064936",115485772,"LOC115485772",130
"ENSMUSG00000050967",263764,"Creg2",6091
"ENSMUSG00000057173",619289,"Rfx8",2139
"ENSMUSG00000091937",100042065,"Gm3646",352
"ENSMUSG00000101634",73426,"1700066B17Rik",1068
"ENSMUSG00000026074",26921,"Map4k4",9579
"ENSMUSG00000026073",16178,"Il1r2",1908
"ENSMUSG00000097899",100047133,"Gm16894",842
"ENSMUSG00000026072",16177,"Il1r1",6363
"ENSMUSG00000070942",107527,"Il1rl2",6812
"ENSMUSG00000026069",17082,"Il1rl1",6894
"ENSMUSG00000026070",16182,"Il18r1",4817
"ENSMUSG00000026068",16174,"Il18rap",6752
"ENSMUSG00000026065",110895,"Slc9a4",4562
"ENSMUSG00000026062",226999,"Slc9a2",6984
"ENSMUSG00000041945",211798,"Mfsd9",5125
"ENSMUSG00000079588",381339,"Tmem182",2716
"ENSMUSG00000104072",74897,"4930448I06Rik",546
"ENSMUSG00000101877",666582,"Gm8176",1099
"ENSMUSG00000060424",66297,"Pantr1",4458
"ENSMUSG00000045515",18993,"Pou3f3",7409
"ENSMUSG00000097063",66620,"Pantr2",1257
"ENSMUSG00000099784",104940697,"Dalir",2170
"ENSMUSG00000060679",69527,"Mrps9",5524
"ENSMUSG00000077448",115485781,"Gm23126",134
"ENSMUSG00000041907",93690,"Gpr45",7238
"ENSMUSG00000070939",73122,"Tgfbrap1",10972
"ENSMUSG00000010290",98404,"AI597479",3458
"ENSMUSG00000008136",14200,"Fhl2",1897
"ENSMUSG00000099694",115486948,"Gm29610",453
"ENSMUSG00000066877",17974,"Nck2",4321
"ENSMUSG00000026051",78896,"Ecrg4",902
"ENSMUSG00000057363",67883,"Uxs1",5097
"ENSMUSG00000088848",115485801,"Gm26352",125
"ENSMUSG00000041763",22019,"Tpp2",10078
"ENSMUSG00000047343",433294,"Mettl21c",4300
"ENSMUSG00000026049",75623,"Tex30",1926
"ENSMUSG00000026047",72050,"Poglut2",3199
"ENSMUSG00000041684",246229,"Bivm",4206
"ENSMUSG00000026048",22592,"Ercc5",5864
"ENSMUSG00000046828",403183,"Mettl21e",3961
"ENSMUSG00000100966",435619,"Gm5700",989
"ENSMUSG00000100769",105243917,"Gm28893",1108
"ENSMUSG00000056870",70676,"Gulp1",3758
"ENSMUSG00000101701",75066,"4930521E06Rik",905
"ENSMUSG00000100434",100041738,"Gm3489",528
"ENSMUSG00000100013",100502972,"Gm19480",667
"ENSMUSG00000101251",100041752,"Gm3496",745
"ENSMUSG00000101937",383640,"Gm5268",940
"ENSMUSG00000026043",12825,"Col3a1",9816
"ENSMUSG00000026042",12832,"Col5a2",9591
"ENSMUSG00000095121",115487596,"Gm23216",107
"ENSMUSG00000065255",115487651,"Gm23974",131
"ENSMUSG00000100843",666819,"Gm8307",1150
"ENSMUSG00000025995",73674,"Wdr75",4900
"ENSMUSG00000099381",100416885,"Gm18303",1176
"ENSMUSG00000025993",53945,"Slc40a1",9000
"ENSMUSG00000099946",670603,"Gm9496",1601
"ENSMUSG00000070896",227054,"Rpl23a-ps1",465
"ENSMUSG00000044457",212225,"Stk-ps2",4667
"ENSMUSG00000099432",100417825,"Gm18849",560
"ENSMUSG00000041144",227058,"Dnah7b",19980
"ENSMUSG00000096047",115487577,"n-R5s211",119
"ENSMUSG00000101337",100101919,"Dnah7c",12603
"ENSMUSG00000025986",227059,"Slc39a10",6095
"ENSMUSG00000098876",102466969,"Mir6350",105
"ENSMUSG00000100033",666869,"Gm8337",1938
"ENSMUSG00000101996",100418427,"Gm19206",827
"ENSMUSG00000096973",546734,"Gm5974",986
"ENSMUSG00000064943",115487668,"Gm23240",121
"ENSMUSG00000099376",100418296,"Gm19124",832
"ENSMUSG00000097883",666909,"Gm8357",1011
"ENSMUSG00000051616",442837,"C230029F24Rik",582
"ENSMUSG00000099627",627430,"Gm6757",1706
"ENSMUSG00000101760",666962,"Gm8384",704
"ENSMUSG00000099864",666970,"Gm8391",726
"ENSMUSG00000099941",102633655,"Gm20118",162
"ENSMUSG00000026109",56363,"Tmeff2",6707
"ENSMUSG00000101799",442821,"9330175M20Rik",2552
"ENSMUSG00000045954",20324,"Cavin2",3055
"ENSMUSG00000099741",383504,"Gm5253",1025
"ENSMUSG00000026107",109019,"Nabp1",8498
"ENSMUSG00000099413",100045066,"Gm17767",3979
"ENSMUSG00000018417",17912,"Myo1b",10792
"ENSMUSG00000100696",667010,"Gm8419",412
"ENSMUSG00000072324",667014,"Gm8420",598
"ENSMUSG00000062939",20849,"Stat4",3872
"ENSMUSG00000078291",100042634,"Gm3940",432
"ENSMUSG00000026104",20846,"Stat1",7105
"ENSMUSG00000099569",100416883,"Gm18301",888
"ENSMUSG00000026103",14660,"Gls",15057
"ENSMUSG00000099648",546735,"Gm5975",1399
"ENSMUSG00000065192",115487589,"Gm23460",109
"ENSMUSG00000002881",17936,"Nab1",4100
"ENSMUSG00000097833",546736,"Gm5976",996
"ENSMUSG00000101501",100042094,"Rps27a-ps1",463
"ENSMUSG00000100120",118126071,"Gm53065",701
"ENSMUSG00000099878",102634661,"Gm28178",2943
"ENSMUSG00000043015",227094,"Nemp2",7078
"ENSMUSG00000041439",98682,"Mfsd6",8231
"ENSMUSG00000026102",16329,"Inpp1",6460
"ENSMUSG00000041426",227095,"Hibch",6059
"ENSMUSG00000089802",100418317,"Gm16107",862
"ENSMUSG00000043629",67080,"1700019D03Rik",4330
"ENSMUSG00000026100",17700,"Mstn",2705
"ENSMUSG00000089334",115485814,"Gm24349",101
"ENSMUSG00000060715",69397,"1700019A02Rik",777
"ENSMUSG00000026098",227099,"Pms1",7542
"ENSMUSG00000026097",227102,"Ormdl1",4711
"ENSMUSG00000026096",72085,"Osgepl1",6147
"ENSMUSG00000026095",70396,"Asnsd1",3528
"ENSMUSG00000096141",627872,"Dnah7a",12767
"ENSMUSG00000026094",98267,"Stk17b",5185
"ENSMUSG00000042807",329152,"Hecw2",12947
"ENSMUSG00000098443",102465783,"Mir7681",72
"ENSMUSG00000087949",115487670,"Gm24251",114
"ENSMUSG00000094013",115487701,"Gm25829",107
"ENSMUSG00000025983",78016,"Ccdc150",5021
"ENSMUSG00000041303",98488,"Gtf3c3",4925
"ENSMUSG00000073678",241062,"Pgap1",16611
"ENSMUSG00000052331",329154,"Ankrd44",14175
"ENSMUSG00000025982",81898,"Sf3b1",11370
"ENSMUSG00000025981",67876,"Coq10b",4805
"ENSMUSG00000101122",100416214,"Gm17971",806
"ENSMUSG00000025980",15510,"Hspd1",2642
"ENSMUSG00000073676",15528,"Hspe1",1474
"ENSMUSG00000100736",381258,"Gm5147",794
"ENSMUSG00000089670",100417585,"Gm16581",991
"ENSMUSG00000025979",19070,"Mob4",4855
"ENSMUSG00000025978",74013,"Rftn2",5871
"ENSMUSG00000097649",628004,"Gm10561",1943
"ENSMUSG00000046994",212679,"Mars2",11294
"ENSMUSG00000025977",75388,"Boll",3514
"ENSMUSG00000100215",666793,"Gm8292",396
"ENSMUSG00000101945",101055993,"Btf3-ps17",348
"ENSMUSG00000101085",667237,"Gm8531",893
"ENSMUSG00000038349",227120,"Plcl1",6687
"ENSMUSG00000099950",329159,"9130227L01Rik",2345
"ENSMUSG00000100372",69356,"1700003I22Rik",482
"ENSMUSG00000045336",71066,"Hsfy2",1392
"ENSMUSG00000038331",212712,"Satb2",6788
"ENSMUSG00000101429",407809,"BC055402",3301
"ENSMUSG00000097519",75323,"4930558J18Rik",2052
"ENSMUSG00000038323",73467,"1700066M21Rik",3235
"ENSMUSG00000048495",68736,"Tyw5",2672
"ENSMUSG00000025971",68115,"Maip1",7878
"ENSMUSG00000077776",115485777,"Gm22371",130
"ENSMUSG00000101826",667339,"Gm8581",890
"ENSMUSG00000038305",67198,"Spats2l",8041
"ENSMUSG00000054770",51960,"Kctd18",12973
"ENSMUSG00000026039",68549,"Sgo2a",7007
"ENSMUSG00000063558",11761,"Aox1",8690
"ENSMUSG00000064294",71724,"Aox3",7033
"ENSMUSG00000089275",115485819,"Gm24548",108
"ENSMUSG00000038242",71872,"Aox4",8416
"ENSMUSG00000079554",213043,"Aox2",5771
"ENSMUSG00000051223",66882,"Bzw1",4033
"ENSMUSG00000026034",12747,"Clk1",8132
"ENSMUSG00000026035",70225,"Ppil3",4291
"ENSMUSG00000026036",65102,"Nif3l1",7763
"ENSMUSG00000026037",18393,"Orc2",3857
"ENSMUSG00000094245",115487580,"Gm23966",107
"ENSMUSG00000038174",213056,"Fam126b",12041
"ENSMUSG00000026032",66495,"Ndufb3",763
"ENSMUSG00000100202",108167832,"Gm29389",352
"ENSMUSG00000047528",108812,"Flacc1",3396
"ENSMUSG00000102059",100504501,"Gm20257",936
"ENSMUSG00000026031",12633,"Cflar",12669
"ENSMUSG00000026029",12370,"Casp8",2893
"ENSMUSG00000026028",70827,"Trak2",7088
"ENSMUSG00000026027",227154,"Stradb",7256
"ENSMUSG00000072295",73463,"C2cd6",2204
"ENSMUSG00000077616",115485774,"Gm25502",131
"ENSMUSG00000038079",381259,"Tmem237",2389
"ENSMUSG00000079550",227157,"Mpp4",7063
"ENSMUSG00000099563",100418297,"Gm19125",1383
"ENSMUSG00000026024",74018,"Als2",9496
"ENSMUSG00000026023",271697,"Cdk15",2507
"ENSMUSG00000041075",14369,"Fzd7",4532
"ENSMUSG00000047361",381260,"Gm973",5346
"ENSMUSG00000026021",22218,"Sumo1",2076
"ENSMUSG00000026020",55989,"Nop58",10758
"ENSMUSG00000077358",115485825,"LOC115485825",84
"ENSMUSG00000089512",115487683,"Gm26287",81
"ENSMUSG00000067336",12168,"Bmpr2",17983
"ENSMUSG00000041040",72750,"Fam117b",7290
"ENSMUSG00000100901",100417792,"Gm18829",1622
"ENSMUSG00000026018",70375,"Ica1l",5356
"ENSMUSG00000026019",57750,"Wdr12",11955
"ENSMUSG00000026017",241066,"Carf",14557
"ENSMUSG00000082609",100504573,"Gm15464",431
"ENSMUSG00000073664",269198,"Nbeal1",28441
"ENSMUSG00000100516",112841591,"Gm29332",227
"ENSMUSG00000049439",77951,"Cyp20a1",2286
"ENSMUSG00000026782",329165,"Abi2",8543
"ENSMUSG00000026014",77300,"Raph1",20498
"ENSMUSG00000026012",12487,"Cd28",6122
"ENSMUSG00000026011",12477,"Ctla4",2330
"ENSMUSG00000081382",667100,"Rpl18-ps1",525
"ENSMUSG00000026009",54167,"Icos",3430
"ENSMUSG00000082804",433313,"Rpl17-ps1",552
"ENSMUSG00000085447",77341,"9530026F06Rik",892
"ENSMUSG00000052062",72823,"Pard3b",13153
"ENSMUSG00000085019",105243940,"Pard3bos2",770
"ENSMUSG00000084333",108167598,"Gm11599",878
"ENSMUSG00000025969",18187,"Nrp2",11842
"ENSMUSG00000040865",227195,"Ino80d",17713
"ENSMUSG00000088953",115485806,"Gm24942",114
"ENSMUSG00000084799",100380944,"Ino80dos",2880
"ENSMUSG00000025968",227197,"Ndufs1",8086
"ENSMUSG00000025967",55949,"Eef1b2",2532
"ENSMUSG00000064612",115487641,"Gm26457",78
"ENSMUSG00000064602",100217464,"Snora41",132
"ENSMUSG00000046856",241070,"Gpr1",2496
"ENSMUSG00000027520",73884,"Zdbf2",12659
"ENSMUSG00000094214",115487611,"Gm23448",104
"ENSMUSG00000083039",100418466,"Gm11606",617
"ENSMUSG00000025964",23792,"Adam23",17907
"ENSMUSG00000087823",115487614,"Gm22281",103
"ENSMUSG00000069085",241073,"Dytn",6143
"ENSMUSG00000025963",76668,"Mdh1b",1719
"ENSMUSG00000025962",75619,"Fastkd2",5873
"ENSMUSG00000025961",74426,"4933402D24Rik",1758
"ENSMUSG00000080817",100416203,"Gm13751",752
"ENSMUSG00000082373",102637534,"Gm13754",998
"ENSMUSG00000044689",433315,"Gm13749",1432
"ENSMUSG00000025959",93691,"Klf7",8131
"ENSMUSG00000098487",102466760,"Mir6899",64
"ENSMUSG00000099658",102639846,"Gm28980",219
"ENSMUSG00000025958",12912,"Creb1",13742
"ENSMUSG00000025956",67099,"Mettl21a",3005
"ENSMUSG00000087213",69941,"2810408I11Rik",2341
"ENSMUSG00000070871",227210,"Ccnyl1",3456
"ENSMUSG00000045005",14367,"Fzd5",6915
"ENSMUSG00000051344",241075,"Plekhm3",10921
"ENSMUSG00000097264",667245,"Rpl31-ps24",379
"ENSMUSG00000084416",100043141,"Rpl10a-ps1",654
"ENSMUSG00000077471",115487676,"Gm24788",156
"ENSMUSG00000025955",70861,"Akr1cl",4209
"ENSMUSG00000070870",12968,"Cryge",723
"ENSMUSG00000067299",12967,"Crygd",1028
"ENSMUSG00000025952",12966,"Crygc",786
"ENSMUSG00000073658",12965,"Crygb",634
"ENSMUSG00000044429",12964,"Cryga",730
"ENSMUSG00000044816",98303,"D630023F18Rik",2667
"ENSMUSG00000025950",15926,"Idh1",2771
"ENSMUSG00000025949",18711,"Pikfyve",18504
"ENSMUSG00000025946",213527,"Pth2r",2582
"ENSMUSG00000100340",102640346,"Gm28923",322
"ENSMUSG00000082565",383520,"Gm5255",642
