"","Entrez.Mouse","Entrez.Human","Entrez.Rat"
"110304",110304,8001,114516
"14723",14723,2811,691992
"54368",54368,2815,502858
"14751",14751,2821,292804
"227753",227753,2934,296654
"14854",14854,2937,25458
"17688",17688,2956,100360342
"97212",97212,3030,170670
"231086",231086,3032,171155
"15233",15233,3081,360719
"15288",15288,3145,25709
"15356",15356,3155,79238
"21388",21388,6910,304514
"192236",192236,3257,114638
"27029",27029,6448,688293
"15894",15894,3383,25464
"15931",15931,3423,363513
"15932",15932,3425,360904
"12630",12630,3426,79126
"16186",16186,3561,NA
"16334",16334,3630,24506
"18609",18609,3651,29535
"192897",192897,3691,25724
"16449",16449,182,29146
"16453",16453,3718,25326
"16485",16485,3736,24520
"16509",16509,102723475,25471
"16590",16590,3815,64030
"268482",268482,3859,360625
"16780",16780,3914,305078
"16846",16846,3952,25608
"24053",24053,6445,305941
"24051",24051,6443,680229
"16881",16881,3978,81513
"15450",15450,3990,24538
"16956",16956,4023,24539
"16511",16511,3757,117018
"17161",17161,4128,29253
"17295",17295,4233,24553
"12265",12265,4261,85483
"17350",17350,4292,81685
"17685",17685,4436,81709
"17777",17777,4547,310900
"17868",17868,4607,295929
"17921",17921,4647,266714
"17926",17926,4653,81523
"17939",17939,4668,315165
"27419",27419,4669,360630
"19206",19206,5727,89830
"17986",17986,4693,363443
"18015",18015,4763,24592
"18145",18145,4864,266732
"53885",53885,4867,296136
"18241",18241,4935,302619
"18242",18242,4942,64313
"320634",320634,4952,317576
"18478",18478,5053,24616
"110821",110821,5095,687008
"18587",18587,5158,289878
"18624",18624,5184,292808
"103737",103737,5193,116718
"18634",18634,5191,308718
"110094",110094,5256,678739
"102093",102093,5257,361377
"18763",18763,5310,24650
"18772",18772,5317,304822
"18822",18822,5351,116552
"54128",54128,5373,302915
"18736",18736,5449,25517
"18994",18994,5456,29589
"19044",19044,5498,289219
"19128",19128,5627,81750
"19211",19211,5728,NA
"19226",19226,5741,24694
"19228",19228,5745,56813
"19286",19286,5805,29498
"19302",19302,5828,29534
"19305",19305,5830,312703
"110391",110391,5860,64192
"19645",19645,5925,24708
"19133",19133,5961,25534
"19881",19881,6094,309201
"20147",20147,6247,100125595
"20238",20238,6310,25049
"110880",110880,6329,25722
"24052",24052,6444,NA
"20495",20495,6557,25065
"20497",20497,6559,54300
"20617",20617,6622,29219
"20682",20682,6662,140586
"20741",20741,6710,314251
"20845",20845,6770,25557
"11304",11304,24,NA
"21452",21452,6948,64365
"21816",21816,7051,60335
"21823",21823,7054,25085
"21824",21824,7056,83580
"21954",21954,7137,29248
"22017",22017,7172,690050
"64930",64930,7248,60445
"22095",22095,7253,25360
"22139",22139,7276,24856
"22247",22247,7372,288051
"22275",22275,7389,29421
"22436",22436,7498,497811
"11634",11634,326,294328
"238055",238055,338,54225
"104184",104184,642,287552
"57279",57279,788,117035
"12374",12374,846,24247
"12575",12575,1026,114851
"12662",12662,1121,24942
"12751",12751,1200,83534
"13871",13871,2068,308415
"14043",14043,2132,311215
"74246",74246,2582,114860
"14667",14667,2760,282838
"14715",14715,2798,81668
"14571",14571,2820,25062
"14913",14913,2978,301233
"15488",15488,3295,79244
"15979",15979,3459,116465
"16184",16184,3559,25704
"23925",23925,3792,297025
"16667",16667,3872,287702
"16997",16997,4053,59106
"18472",18472,5048,83572
"17855",17855,4598,81727
"17970",17970,4688,364018
"18010",18010,4758,24591
"18131",18131,4854,56761
"67041",67041,5019,690163
"18548",18548,5122,25204
"225600",225600,5145,307401
"18810",18810,5339,64204
"330260",330260,5445,296851
"19165",19165,5664,81751
"19373",19373,5896,84600
"20339",20339,6401,25544
"20494",20494,6555,29500
"20655",20655,6647,24786
"20869",20869,6794,314621
"211389",211389,6821,81805
"15378",15378,3172,25735
"21410",21410,6928,25640
"21687",21687,7010,89804
"21832",21832,7066,81811
"12021",12021,580,64557
"22160",22160,7291,85489
"11614",11614,190,58850
"11657",11657,213,24186
"11717",11717,272,25095
"434437",434437,275,306586
"11821",11821,353,292072
"22589",22589,546,246284
"11998",11998,551,24221
"12260",12260,713,29687
"12961",12961,1415,25422
"58992",58992,2161,306761
"14061",14061,2147,29251
"14161",14161,2243,361969
"99571",99571,2266,24367
"14308",14308,2488,25447
"14573",14573,2668,25453
"15212",15212,3074,294673
"16514",16514,3767,83535
"22359",22359,7436,25696
"17200",17200,4158,282839
"17528",17528,4359,24564
"18416",18416,5009,25611
"66904",66904,5096,24624
"18823",18823,5354,24943
"227099",227099,5378,494322
"170767",170767,5994,499617
"20215",20215,6295,25539
"20388",20388,6439,192155
"20597",20597,6609,308909
"21405",21405,6927,24817
"22059",22059,7157,24842
"22018",22018,7173,54314
"22084",22084,7249,24855
"22094",22094,7252,25653
"22178",22178,7306,298182
"22346",22346,7428,24874
"22371",22371,7450,116669
"12951",12951,1406,60446
"14563",14563,8200,252835
"230558",230558,731,298288
"16192",16192,3568,114103
"16194",16194,3570,24499
"14129",14129,2209,295279
"16153",16153,3586,25325
"16175",16175,3552,24493
"16176",16176,3553,24494
"14473",14473,2638,24384
"16168",16168,3600,25670
"16183",16183,3558,116562
"109828",109828,730,NA
"16189",16189,3565,287287
"16198",16198,3578,116558
"12475",12475,929,60350
"21354",21354,6890,24811
"21926",21926,7124,24835
"16992",16992,4049,25008
"16006",16006,3484,25685
"16008",16008,3485,25662
"16009",16009,3486,24484
"16193",16193,3569,24498
"15234",15234,3082,24446
"18127",18127,4846,24600
"69379",69379,733,NA
"12505",12505,960,25406
"16002",16002,3481,24483
"15458",15458,3263,58917
"12504",12504,920,NA
"16000",16000,3479,24482
"12062",12062,624,25245
"15985",15985,974,171055
"268977",268977,4052,59107
"16155",16155,3588,304091
"15975",15975,3454,288264
"17972",17972,4689,500904
"16409",16409,3684,25021
"12043",12043,596,NA
"20656",20656,6648,24787
"14782",14782,2936,116686
"22370",22370,7448,29169
"14103",14103,356,25385
"16165",16165,3598,171060
"16156",16156,3589,171040
"77559",77559,178,362029
"12772",12772,729230,60463
"20343",20343,6402,29259
"21803",21803,7040,59086
"268860",268860,18,81632
"11423",11423,43,83817
"11542",11542,140,NA
"11550",11550,146,29413
"11552",11552,151,24174
"269378",269378,191,29443
"11684",11684,239,287454
"11689",11689,240,25290
"16952",16952,301,25380
"11928",11928,476,24211
"54140",54140,552,25107
"12039",12039,593,25244
"12061",12061,623,81509
"109778",109778,644,116599
"233016",233016,645,292737
"12257",12257,706,24230
"12289",12289,776,29716
"12293",12293,781,25399
"12299",12299,786,29658
"12424",12424,885,25298
"12500",12500,915,25710
"12501",12501,916,315609
"12640",12640,1081,116700
"110834",110834,1136,25101
"11438",11438,1137,25590
"11441",11441,1139,25302
"11443",11443,1140,24261
"11444",11444,1141,54239
"12908",12908,1384,311849
"12918",12918,1392,81648
"12981",12981,1437,116630
"12986",12986,1441,298518
"13166",13166,1621,25699
"13178",13178,1633,79127
"13195",13195,1644,24311
"13370",13370,1733,25430
"13371",13371,1734,65162
"13490",13490,1814,29238
"13856",13856,2056,24335
"14164",14164,2246,25317
"14276",14276,2350,293154
"14459",14459,2520,25320
"14394",14394,2554,29705
"14397",14397,2557,140675
"14402",14402,2562,24922
"14415",14415,2571,24379
"14450",14450,2618,288259
"14456",14456,2621,58935
"56316",56316,2677,81716
"14602",14602,2692,25321
"14714",14714,2796,25194
"14811",14811,2903,24409
"14812",14812,2904,24410
"14813",14813,2905,24411
"14814",14814,2906,24412
"14816",14816,2911,24414
"108069",108069,2913,24416
"14823",14823,2918,60590
"14866",14866,2947,64352
"54195",54195,2983,25202
"14923",14923,2987,303179
"15465",15465,3269,24448
"15551",15551,3351,25075
"15561",15561,3359,79246
"15565",15565,3362,NA
"15896",15896,3384,360647
"16004",16004,3482,25151
"16177",16177,3554,25663
"16191",16191,3567,24497
"16196",16196,3574,25647
"16159",16159,3592,84405
"16420",16420,3694,311061
"17311",17311,4254,60427
"17313",17313,4256,25333
"18104",18104,1728,24314
"18105",18105,4835,291084
"109648",109648,4852,24604
"18162",18162,4883,25339
"18166",18166,4886,29358
"18167",18167,4887,NA
"54611",54611,5139,50678
"18576",18576,5140,29516
"68263",68263,5162,289950
"18667",18667,5241,25154
"18778",18778,5319,29526
"18784",18784,5322,29354
"18791",18791,5327,25692
"18816",18816,5345,287527
"20020",20020,5430,363633
"231329",231329,5431,289561
"18976",18976,5443,24664
"18984",18984,5447,29441
"19035",19035,5479,64367
"19038",19038,5480,291463
"19075",19075,5557,246327
"19076",19076,5558,301323
"19109",19109,5617,24683
"19116",19116,5618,24684
"546336",546336,5638,363472
"65116",65116,5639,361570
"19214",19214,5729,NA
"19215",19215,5730,25526
"19216",19216,5731,25637
"19217",19217,5732,81752
"19220",19220,5737,25652
"19224",19224,5742,24693
"27367",27367,6122,300079
"67891",67891,6124,64302
"19899",19899,6141,81766
"68193",68193,6152,NA
"19946",19946,6156,100361143
"19943",19943,6158,NA
"27050",27050,6188,NA
"20103",20103,6193,25538
"67097",67097,6204,NA
"20055",20055,6217,NA
"66475",66475,6228,NA
"20133",20133,6240,685579
"20266",20266,6324,29686
"20276",20276,6337,25122
"20415",20415,6462,24775
"20538",20538,6530,83511
"15567",15567,6532,25553
"20604",20604,6750,24797
"20605",20605,6751,25033
"21338",21338,6870,24808
"21390",21390,6915,24816
"21937",21937,7132,25625
"21938",21938,7133,156767
"21973",21973,7153,360243
"103733",103733,7283,252921
"22171",22171,7298,29261
"22329",22329,7412,25361
"22637",22637,7535,301348
"214579",214579,7915,291133
"242202",242202,8654,171115
"26433",26433,8985,288583
"227290",227290,14,301512
"224742",224742,23,85493
"104112",104112,47,24159
"11434",11434,49,24163
"11429",11429,50,79250
"11481",11481,93,25366
"11487",11487,102,29650
"11513",11513,113,84420
"11515",11515,115,302950
"11516",11516,116,24166
"11517",11517,117,24167
"68294",68294,10227,305449
"11520",11520,123,298199
"11535",11535,133,25026
"11544",11544,141,25371
"11566",11566,159,289276
"11568",11568,165,305494
"14797",14797,166,29466
"280662",280662,173,282708
"11596",11596,177,81722
"11686",11686,242,287425
"11688",11688,247,266604
"23802",23802,267,361367
"66401",66401,318,297998
"319924",319924,320,83589
"11785",11785,322,29722
"11796",11796,330,78971
"11797",11797,329,60371
"11798",11798,331,63879
"11847",11847,384,29215
"11855",11855,394,299012
"192662",192662,396,360678
"11865",11865,406,29657
"109979",109979,419,305235
"11890",11890,433,29403
"110695",110695,501,291450
"54411",54411,537,83615
"12007",12007,563,25294
"12013",12013,571,304127
"12018",12018,578,NA
"21935",21935,608,287034
"12075",12075,631,25394
"12122",12122,637,64625
"12124",12124,638,114496
"12142",12142,639,309871
"12156",12156,650,29373
"110075",110075,651,25667
"12168",12168,659,140590
"224630",224630,662,140932
"16601",16601,687,117560
"12236",12236,701,171576
"12321",12321,813,64366
"12390",12390,858,363425
"66671",66671,902,84389
"12455",12455,904,315291
"21941",21941,943,25069
"21949",21949,944,683163
"21939",21939,958,171369
"12514",12514,968,NA
"21948",21948,970,301132
"217232",217232,996,360643
"12571",12571,1021,114483
"12580",12580,1031,54238
"12591",12591,1045,66019
"105670",105670,1102,290363
"12649",12649,1111,140583
"12652",12652,1113,24258
"12675",12675,1147,309361
"12696",12696,1153,NA
"66411",66411,1155,292777
"23844",23844,1179,308015
"26372",26372,1185,295586
"224796",224796,53405,94272
"16826",16826,9079,289664
"12729",12729,1207,65160
"59289",59289,1238,140473
"12790",12790,1261,85257
"12797",12797,1264,65204
"23849",23849,1316,58954
"12854",12854,1325,NA
"12874",12874,1362,25306
"12740",12740,1364,304407
"12739",12739,1365,65130
"93721",93721,1369,365466
"232430",232430,1389,362453
"110750",110750,1434,362273
"73720",73720,1474,171096
"67337",67337,1477,311670
"228410",228410,1479,362178
"13016",13016,1487,29382
"13019",13019,1489,29201
"12388",12388,1500,311163
"229445",229445,1519,684529
"64138",64138,1522,252929
"13052",13052,1525,89843
"13132",13132,1601,79128
"13135",13135,1603,192275
"13139",13139,1606,140866
"110197",110197,1608,25666
"226414",226414,1615,116483
"13163",13163,1616,140926
"13170",13170,1628,24309
"13202",13202,1652,29318
"13211",13211,1660,304859
"13204",13204,1665,289693
"13360",13360,1717,64191
"56749",56749,1723,65156
"107585",107585,1735,29475
"245474",245474,1736,170944
"23859",23859,1740,64053
"13385",13385,1742,29495
"110082",110082,1767,294854
"13417",13417,1769,207117
"56629",56629,58511,59296
"13424",13424,1778,29489
"13448",13448,1796,312477
"13478",13478,1798,300668
"116905",116905,1801,NA
"67728",67728,1802,298452
"13495",13495,1819,497915
"407800",407800,1842,100361383
"319520",319520,1846,60587
"75590",75590,1852,293847
"230857",230857,1889,94204
"51798",51798,1891,64526
"13609",13609,1901,29733
"14745",14745,1902,116744
"13637",13637,1943,84358
"13643",13643,1949,360546
"107934",107934,1951,83466
"53883",53883,1952,83465
"209354",209354,1967,64514
"13730",13730,2012,25314
"13731",13731,2013,360468
"13732",13732,2014,81505
"328572",328572,2033,170915
"13819",13819,2034,29452
"13874",13874,2069,59325
"14113",14113,2091,292747
"13983",13983,2100,25149
"58193",58193,2135,310803
"54616",54616,2137,56819
"14080",14080,2168,24360
"16204",16204,2172,25440
"245827",245827,2196,65048
"15227",15227,2294,687536
"14238",14238,2295,364707
"15223",15223,2302,116557
"192176",192176,2316,293860
"20378",20378,2487,295691
"11495",11495,2515,56806
"54393",54393,2550,81657
"14421",14421,2583,64828
"104346",104346,2622,361438
"67092",67092,2628,81660
"14467",14467,2631,498174
"14472",14472,2637,114500
"231103",231103,2646,25658
"14533",14533,2647,NA
"14586",14586,2675,25136
"14587",14587,2676,84422
"14629",14629,2729,25283
"14756",14756,2822,291132
"12766",12766,2833,84475
"14780",14780,2880,113919
"229906",229906,2959,81673
"23894",23894,2966,294693
"209357",209357,2967,288651
"72308",72308,2972,299347
"15116",15116,3036,282821
"15171",15171,3060,25723
"387285",387285,3062,25605
"54426",54426,3083,58947
"15251",15251,3091,29560
"15388",15388,3191,80846
"15507",15507,3315,24471
"78908",78908,3321,295325
"68572",68572,3396,303673
"15904",15904,3400,291023
"15958",15958,3433,294091
"16010",16010,3487,360622
"29817",29817,3490,289560
"16007",16007,3491,83476
"209268",209268,3547,302822
"16154",16154,3587,117539
"16162",16162,3595,171334
"16164",16164,3597,NA
"21942",21942,3604,500590
"16173",16173,3606,29197
"63859",63859,3617,66014
"15945",15945,3627,245920
"16332",16332,3636,65038
"16341",16341,3646,NA
"108960",108960,3656,362418
"54131",54131,3661,292892
"18508",18508,5080,25509
"234734",234734,16,292023
"66885",66885,36,25618
"11432",11432,53,24162
"11451",11451,56,60353
"11519",11519,119,24171
"11545",11545,142,25591
"110355",110355,156,25238
"11622",11622,196,25690
"11625",11625,197,25373
"11629",11629,199,29427
"11637",11637,204,NA
"11658",11658,214,79559
"11690",11690,241,29624
"11699",11699,259,25377
"27052",27052,313,498757
"235606",235606,327,24206
"11792",11792,328,79116
"11807",11807,336,25649
"11810",11810,339,25383
"11425",11425,346,680551
"11815",11815,347,25239
"11836",11836,369,64363
"213827",213827,372,300674
"81003",81003,373,81002
"11839",11839,374,29183
"80981",80981,379,303559
"11845",11845,382,79121
"56327",56327,402,65142
"11863",11863,405,25242
"11889",11889,432,24210
"50518",50518,434,24152
"11910",11910,467,25389
"11911",11911,468,79255
"11957",11957,522,94271
"11947",11947,506,171374
"11950",11950,515,171375
"11966",11966,526,117596
"66335",66335,528,299971
"11973",11973,529,297566
"28080",28080,539,192241
"11992",11992,549,361215
"12012",12012,570,29725
"107831",107831,575,362931
"230775",230775,576,313058
"210933",210933,577,301309
"12054",12054,9275,368001
"12057",12057,611,81644
"14962",14962,629,NA
"12111",12111,633,25181
"12116",12116,635,81508
"12143",12143,640,364403
"12145",12145,643,29363
"12161",12161,654,NA
"21682",21682,7006,84492
"67065",67065,661,306012
"12209",12209,680,260319
"12215",12215,682,25246
"12223",12223,685,64022
"12231",12231,696,306956
"12308",12308,794,117059
"12311",12311,799,116506
"12328",12328,819,81715
"12330",12330,821,29144
"12334",12334,824,29154
"12336",12336,826,29156
"27267",27267,833,293638
"12389",12389,857,25404
"12394",12394,861,50662
"12443",12443,595,58919
"12449",12449,899,117524
"12466",12466,908,288620
"12479",12479,912,25109
"12481",12481,914,497761
"12478",12478,930,365367
"12490",12490,947,305081
"12494",12494,952,25668
"16423",16423,961,29364
"12506",12506,962,245962
"12517",12517,971,313498
"72269",72269,978,362638
"235072",235072,989,64551
"12530",12530,993,171102
"12532",12532,995,307511
"12562",12562,1003,307618
"12552",12552,1009,84407
"12572",12572,1022,171150
"12583",12583,1036,81718
"12590",12590,1044,364883
"110794",110794,1053,25410
"12611",12611,1054,NA
"12615",12615,1058,298850
"12616",12616,1059,362217
"12617",12617,1060,305270
"13032",13032,1075,25423
"12653",12653,1114,NA
"12759",12759,1191,24854
"109791",109791,1208,25680
"12757",12757,1211,83800
"12775",12775,1236,287673
"12802",12802,1269,57302
"12827",12827,1284,306628
"12833",12833,1291,294337
"12834",12834,1292,361821
"12839",12839,1297,305104
"12819",12819,1306,298069
"107581",107581,1307,366474
"20529",20529,1317,171135
"66142",66142,1349,303393
"69719",69719,790,24240
"12894",12894,1374,25757
"12904",12904,1382,29563
"12919",12919,1393,29625
"12950",12950,1404,29331
"12959",12959,1413,64348
"12960",12960,1414,25421
"12971",12971,1428,117024
"12991",12991,1447,29173
"14219",14219,1490,64032
"107869",107869,1491,24962
"12385",12385,1495,307505
"12387",12387,1499,84353
"13171",13171,1629,29611
"13190",13190,1638,290484
"13194",13194,1642,64470
"13197",13197,1647,25112
"330817",330817,1725,288923
"75739",75739,143098,307035
"78920",78920,1743,299201
"56429",56429,1805,289178
"13498",13498,1822,29515
"13507",13507,1825,307563
"13511",13511,1829,307562
"15200",15200,1839,25433
"235584",235584,1849,300980
"104394",104394,1874,100360427
"13559",13559,1875,116651
"50496",50496,1876,313978
"72962",72962,1890,NA
"13614",13614,1906,24323
"13615",13615,1907,24324
"13617",13617,1909,24326
"55949",55949,1933,363241
"13640",13640,1946,116683
"13645",13645,1950,25313
"13656",13656,1961,25129
"74147",74147,1962,171142
"13682",13682,1974,303831
"208691",208691,56648,310261
"13714",13714,2005,304786
"13733",13733,2015,316137
"13829",13829,2039,361069
"13870",13870,2067,292673
"110826",110826,2109,292845
"18612",18612,2118,360635
"14027",14027,2125,303687
"14028",14028,2128,103690342
"14050",14050,2140,313027
"14062",14062,2149,25439
"14066",14066,2152,25584
"14060",14060,2165,289055
"14115",14115,2199,282583
"14119",14119,2201,689008
"14125",14125,2205,25047
"14128",14128,2208,171075
"14134",14134,2219,114091
"110196",110196,2224,NA
"14173",14173,2247,54250
"14175",14175,2249,116499
"14180",14180,2254,25444
"30795",30795,2287,299104
"56458",56458,2308,84482
"14264",14264,2331,64507
"14265",14265,2332,24948
"14268",14268,2335,25661
"14272",14272,2339,25318
"110606",110606,2342,NA
"14345",14345,2526,60670
"70750",70750,2531,360833
"14388",14388,2549,361388
"14390",14390,2551,363735
"14432",14432,2596,29423
"353172",353172,2617,297113
"14451",14451,2619,NA
"14460",14460,2623,25172
"14462",14462,2625,85471
"14463",14463,2626,54254
"14580",14580,2670,24387
"14612",14612,2701,25655
"14630",14630,2730,29739
"14652",14652,2740,25051
"14676",14676,2769,89788
"14682",14682,2776,81666
"75612",75612,2799,299825
"14718",14718,2805,24401
"14719",14719,2806,25721
"14784",14784,2885,81504
"14824",14824,2896,29143
"14809",14809,2901,24407
"225642",225642,2922,171101
"98053",98053,2962,316123
"107477",107477,2979,316218
"15115",15115,3035,307492
"15194",15194,3064,29424
"110521",110521,3096,117140
"15001",15001,3111,24984
"15002",15002,3112,365542
"14961",14961,3119,309622
"208715",208715,3157,29637
"15369",15369,3163,79239
"15370",15370,3164,79240
"15407",15407,3211,303491
"15410",15410,3213,303488
"15430",15430,3236,303991
"15445",15445,3242,29531
"15525",15525,3308,266759
"15510",15510,3329,NA
"15900",15900,3394,292060
"15901",15901,3397,25261
"15902",15902,3398,25587
"15903",15903,3399,25585
"15977",15977,3456,24481
"16012",16012,3489,25641
"20589",20589,3508,29532
"16180",16180,3556,25466
"16195",16195,3572,25205
"16197",16197,3575,294797
"16160",16160,3593,64546
"16163",16163,3596,116553
"16169",16169,3601,690369
"16171",16171,3605,301289
"16322",16322,3623,24504
"16323",16323,3624,29200
"16324",16324,3625,25196
"16329",16329,3628,316376
"11428",11428,48,50655
"16362",16362,3659,24508
"16363",16363,3660,290749
"16392",16392,3670,64444
"16398",16398,3673,170921
"104099",104099,3680,685004
"16408",16408,3683,308995
"16424",16424,3697,306251
"16425",16425,3698,NA
"16426",16426,3699,50693
"16427",16427,3700,54404
"228550",228550,3706,81677
"320404",320404,3707,54260
"16438",16438,3708,25262
"16440",16440,3710,25679
"56357",56357,3712,24513
"16450",16450,3714,29147
"16451",16451,3716,84598
"16476",16476,3725,24516
"16480",16480,3728,81679
"16493",16493,3741,25470
"16494",16494,3742,64358
"16519",16519,3760,50599
"16522",16522,3763,25743
"16513",16513,3766,29718
"16516",16516,3772,170847
"16525",16525,3775,59324
"16527",16527,3777,29553
"16531",16531,3778,83731
"16534",16534,3783,65206
"280287",280287,3814,289023
"16643",16643,3824,25110
"16211",16211,3837,24917
"16647",16647,3838,85245
"70572",70572,3843,306182
"16665",16665,3866,NA
"16669",16669,3880,NA
"53617",53617,3886,287697
"16679",16679,3892,407760
"16764",16764,3899,363220
"16768",16768,3902,297596
"16770",16770,3906,24528
"16777",16777,3912,298941
"16779",16779,3913,25473
"226519",226519,3915,117036
"16841",16841,3950,361205
"16847",16847,3953,24536
"16878",16878,3976,60584
"16880",16880,3977,81680
"319583",319583,3981,290907
"16885",16885,3984,65172
"16948",16948,4015,24914
"94352",94352,4017,290350
"16971",16971,4035,299858
"435965",435965,4037,89787
"16973",16973,4041,293649
"16974",16974,4040,312781
"16985",16985,4046,361680
"16994",16994,4050,361795
"17000",17000,4055,297604
"17002",17002,4057,301034
"23934",23934,4062,300025
"17085",17085,4063,289227
"20400",20400,4068,NA
"56753",56753,4070,494343
"17075",17075,4072,171577
"17119",17119,4084,362391
"56150",56150,4085,297176
"17135",17135,7975,NA
"17136",17136,4099,29409
"17149",17149,4116,298385
"17158",17158,4124,25478
"17754",17754,4130,25152
"17756",17756,4133,25595
"17758",17758,4134,NA
"17171",17171,4142,25153
"17180",17180,4146,297894
"17182",17182,4148,313954
"17187",17187,4149,60661
"17196",17196,4155,24547
"17199",17199,4157,102552838
"17215",17215,4172,316273
"17242",17242,4192,81517
"17246",17246,4193,314856
"17248",17248,4194,304798
"17254",17254,6520,50567
"17294",17294,4232,58827
"17150",17150,4237,313662
"17305",17305,4242,315119
"17308",17308,4245,81519
"217664",217664,4247,94273
"107895",107895,4249,65271
"211666",211666,4258,295037
"17345",17345,4288,291234
"58223",58223,4327,304608
"17420",17420,4331,266713
"268395",268395,4350,24561
"110119",110119,4351,300741
"17524",17524,4354,NA
"17686",17686,4437,NA
"55993",55993,4438,295541
"17695",17695,4477,29311
"17698",17698,4478,81521
"269881",269881,4294,308463
"19882",19882,4486,300999
"17701",17701,4487,NA
"17702",17702,4488,NA
"66902",66902,4507,298227
"17766",17766,4521,117260
"76784",76784,4528,305606
"16364",16364,3662,291100
"192156",192156,4597,81726
"109272",109272,4604,362867
"17865",17865,4605,296344
"17874",17874,4615,301059
"17878",17878,4618,25714
"17928",17928,4656,29148
"17931",17931,4659,116670
"26425",26425,4682,NA
"27354",27354,4683,85482
"433702",433702,4686,298075
"67130",67130,4700,315167
"230075",230075,4712,297990
"66377",66377,4717,689938
"17993",17993,4724,499529
"225887",225887,4728,293652
"23954",23954,4752,306576
"18007",18007,4756,81735
"18012",18012,4760,29458
"18032",18032,4784,81524
"18034",18034,4791,309452
"74164",74164,4799,313166
"18049",18049,4803,310738
"18053",18053,4804,24596
"18073",18073,4811,25494
"18088",18088,4821,366214
"93695",93695,10457,113955
"18133",18133,4856,81526
"18142",18142,4861,308387
"18143",18143,4862,316351
"244879",244879,4863,315666
"18164",18164,4884,266777
"53324",53324,4885,288475
"23959",23959,4907,58813
"18205",18205,4908,81737
"18207",18207,4913,29541
"18211",18211,4914,59109
"19069",19069,4927,113929
"67459",67459,4931,289323
"18260",18260,100506658,NA
"18263",18263,4953,24609
"18286",18286,4957,29479
"18294",18294,4968,81528
"108078",108078,4973,140914
"18383",18383,4982,25341
"94190",94190,4983,312108
"258703",258703,4994,NA
"18400",18400,5002,309131
"18436",18436,5023,25505
"228139",228139,5024,81739
"18438",18438,5025,29659
"94045",94045,5026,113995
"18439",18439,5027,29665
"18441",18441,5028,25265
"18442",18442,5029,29597
"18550",18550,5045,54281
"18475",18475,5049,64189
"18476",18476,5050,114113
"18479",18479,5058,29431
"18483",18483,5064,170673
"114774",114774,5074,64513
"18530",18530,5100,64865
"18534",18534,5105,362282
"18538",18538,5111,25737
"18542",18542,5118,29569
"18557",18557,5129,289019
"20028",20028,5132,25343
"18567",18567,5134,58934
"207728",207728,5138,81743
"18578",18578,5142,24626
"18582",18582,5147,363272
"18588",18588,5148,688297
"18583",18583,5150,81744
"18584",18584,5151,308776
"18596",18596,5159,24629
"59020",59020,5174,65144
"20317",20317,5176,287526
"18626",18626,5187,287422
"72129",72129,5194,NA
"18636",18636,5199,299314
"56612",56612,5204,300257
"18645",18645,5217,NA
"18654",18654,5228,94203
"72157",72157,5236,24645
"18673",18673,5245,NA
"18679",18679,5255,64561
"18700",18700,5277,363464
"18703",18703,5284,25046
"225326",225326,5289,65052
"18716",18716,5304,64673
"56711",56711,5324,297804
"54711",54711,5326,296281
"18803",18803,5335,25738
"56193",56193,5341,364206
"103968",103968,5346,25629
"18824",18824,5355,NA
"53317",53317,5356,60376
"18970",18970,5423,29240
"18971",18971,5424,59294
