"","Ensembl.macaca","Ensembl.mouse","Entrez.mouse","Unique.ID","Mouse.gene.name"
"ENSMFAG00000000647","ENSMFAG00000000647","ENSMUSG00000038910",224860,"ENSMFAG00000000647.224860","Plcl2"
"ENSMFAG00000046150","ENSMFAG00000046150","ENSMUSG00000027936",74343,"ENSMFAG00000046150.74343","Crtc2"
"ENSMFAG00000035463","ENSMFAG00000035463","ENSMUSG00000028544",230612,"ENSMFAG00000035463.230612","Slc5a9"
"ENSMFAG00000042415","ENSMFAG00000042415","ENSMUSG00000026577",66352,"ENSMFAG00000042415.66352","Blzf1"
"ENSMFAG00000033134","ENSMFAG00000033134","ENSMUSG00000028618",56374,"ENSMFAG00000033134.56374","Tmem59"
"ENSMFAG00000001539","ENSMFAG00000001539","ENSMUSG00000029027",13368,"ENSMFAG00000001539.13368","Dffb"
"ENSMFAG00000018166","ENSMFAG00000018166","ENSMUSG00000028062",83409,"ENSMFAG00000018166.83409","Lamtor2"
"ENSMFAG00000001280","ENSMFAG00000001280","ENSMUSG00000000811",232223,"ENSMFAG00000001280.232223","Txnrd3"
"ENSMFAG00000044269","ENSMFAG00000044269","ENSMUSG00000027868",21384,"ENSMFAG00000044269.21384","Tbx15"
"ENSMFAG00000046094","ENSMFAG00000046094","ENSMUSG00000040875",74486,"ENSMFAG00000046094.74486","Osbpl10"
"ENSMFAG00000002737","ENSMFAG00000002737","ENSMUSG00000013646",79566,"ENSMFAG00000002737.79566","Sh3bp5l"
"ENSMFAG00000041889","ENSMFAG00000041889","ENSMUSG00000026546",71870,"ENSMFAG00000041889.71870","Cfap45"
"ENSMFAG00000031011","ENSMFAG00000031011","ENSMUSG00000036885",622434,"ENSMFAG00000031011.622434","Arhgef26"
"ENSMFAG00000037492","ENSMFAG00000037492","ENSMUSG00000042404",229541,"ENSMFAG00000037492.229541","Dennd4b"
"ENSMFAG00000002406","ENSMFAG00000002406","ENSMUSG00000010592",13164,"ENSMFAG00000002406.13164","Dazl"
"ENSMFAG00000033129","ENSMFAG00000033129","ENSMUSG00000042474",69169,"ENSMFAG00000033129.69169","Fcmr"
"ENSMFAG00000002560","ENSMFAG00000002560","ENSMUSG00000040935",242726,"ENSMFAG00000002560.242726","Padi6"
"ENSMFAG00000030982","ENSMFAG00000030982","ENSMUSG00000066415",77853,"ENSMFAG00000030982.77853","Msl2"
"ENSMFAG00000041326","ENSMFAG00000041326","ENSMUSG00000026578",74895,"ENSMFAG00000041326.74895","Ccdc181"
"ENSMFAG00000003493","ENSMFAG00000003493","ENSMUSG00000028530",16451,"ENSMFAG00000003493.16451","Jak1"
"ENSMFAG00000000974","ENSMFAG00000000974","ENSMUSG00000026479",16782,"ENSMFAG00000000974.16782","Lamc2"
"ENSMFAG00000002615","ENSMFAG00000002615","ENSMUSG00000027702",71827,"ENSMFAG00000002615.71827","Lrrc34"
"ENSMFAG00000043409","ENSMFAG00000043409","ENSMUSG00000027867",74362,"ENSMFAG00000043409.74362","Spag17"
"ENSMFAG00000042345","ENSMFAG00000042345","ENSMUSG00000042390",229542,"ENSMFAG00000042345.229542","Gatad2b"
"ENSMFAG00000042062","ENSMFAG00000042062","ENSMUSG00000070877",546840,"ENSMFAG00000042062.546840","Ldlrad1"
"ENSMFAG00000043580","ENSMFAG00000043580","ENSMUSG00000039316",76438,"ENSMFAG00000043580.76438","Rftn1"
"ENSMFAG00000046287","ENSMFAG00000046287","ENSMUSG00000028093",66659,"ENSMFAG00000046287.66659","Acp6"
"ENSMFAG00000003273","ENSMFAG00000003273","ENSMUSG00000049598",240916,"ENSMFAG00000003273.240916","Vsig8"
"ENSMFAG00000039988","ENSMFAG00000039988","ENSMUSG00000040918",116914,"ENSMFAG00000039988.116914","Slc19a2"
"ENSMFAG00000034570","ENSMFAG00000034570","ENSMUSG00000033285",269470,"ENSMFAG00000034570.269470","Wdr3"
"ENSMFAG00000038611","ENSMFAG00000038611","ENSMUSG00000026417",18703,"ENSMFAG00000038611.18703","Pigr"
"ENSMFAG00000003902","ENSMFAG00000003902","ENSMUSG00000070867",666048,"ENSMFAG00000003902.666048","Trabd2b"
"ENSMFAG00000001813","ENSMFAG00000001813","ENSMUSG00000026725",329278,"ENSMFAG00000001813.329278","Tnn"
"ENSMFAG00000000702","ENSMFAG00000000702","ENSMUSG00000028542",14664,"ENSMFAG00000000702.14664","Slc6a9"
"ENSMFAG00000002047","ENSMFAG00000002047","ENSMUSG00000040896",56543,"ENSMFAG00000002047.56543","Kcnd3"
"ENSMFAG00000038232","ENSMFAG00000038232","ENSMUSG00000033963",70979,"ENSMFAG00000038232.70979","Fancd2os"
"ENSMFAG00000042126","ENSMFAG00000042126","ENSMUSG00000054942",215708,"ENSMFAG00000042126.215708","Miga1"
"ENSMFAG00000040060","ENSMFAG00000040060","ENSMUSG00000041355",66256,"ENSMFAG00000040060.66256","Ssr2"
"ENSMFAG00000031436","ENSMFAG00000031436","ENSMUSG00000035275",242570,"ENSMFAG00000031436.242570","Raver2"
"ENSMFAG00000039214","ENSMFAG00000039214","ENSMUSG00000042800",76925,"ENSMFAG00000039214.76925","Spata46"
"ENSMFAG00000000508","ENSMFAG00000000508","ENSMUSG00000013643",70163,"ENSMFAG00000000508.70163","Lypd8"
"ENSMFAG00000030906","ENSMFAG00000030906","ENSMUSG00000025330",18602,"ENSMFAG00000030906.18602","Padi4"
"ENSMFAG00000032288","ENSMFAG00000032288","ENSMUSG00000027770",72162,"ENSMFAG00000032288.72162","Dhx36"
"ENSMFAG00000033658","ENSMFAG00000033658","ENSMUSG00000027703",68307,"ENSMFAG00000033658.68307","Lrriq4"
"ENSMFAG00000000945","ENSMFAG00000000945","ENSMUSG00000026415",64435,"ENSMFAG00000000945.64435","Fcamr"
"ENSMFAG00000002641","ENSMFAG00000002641","ENSMUSG00000026511",27058,"ENSMFAG00000002641.27058","Srp9"
"ENSMFAG00000039610","ENSMFAG00000039610","ENSMUSG00000026495",68226,"ENSMFAG00000039610.68226","Efcab2"
"ENSMFAG00000045882","ENSMFAG00000045882","ENSMUSG00000027865",14547,"ENSMFAG00000045882.14547","Gdap2"
"ENSMFAG00000031755","ENSMFAG00000031755","ENSMUSG00000027905",53975,"ENSMFAG00000031755.53975","Ddx20"
"ENSMFAG00000043762","ENSMFAG00000043762","ENSMUSG00000038256",77578,"ENSMFAG00000043762.77578","Bcl9"
"ENSMFAG00000032848","ENSMFAG00000032848","ENSMUSG00000049694",243535,"ENSMFAG00000032848.243535","BC048671"
"ENSMFAG00000036770","ENSMFAG00000036770","ENSMUSG00000032890",242662,"ENSMFAG00000036770.242662","Rims3"
"ENSMFAG00000042386","ENSMFAG00000042386","ENSMUSG00000027932",26568,"ENSMFAG00000042386.26568","Slc27a3"
"ENSMFAG00000045747","ENSMFAG00000045747","ENSMUSG00000026579",14067,"ENSMFAG00000045747.14067","F5"
"ENSMFAG00000041467","ENSMFAG00000041467","ENSMUSG00000039523",230967,"ENSMFAG00000041467.230967","Cep104"
"ENSMFAG00000040313","ENSMFAG00000040313","ENSMUSG00000038463",320078,"ENSMFAG00000040313.320078","Olfml2b"
"ENSMFAG00000043666","ENSMFAG00000043666","ENSMUSG00000021906",218885,"ENSMFAG00000043666.218885","Oxnad1"
"ENSMFAG00000026265","ENSMFAG00000026265","ENSMUSG00000078588",381546,"ENSMFAG00000026265.381546","Ccdc24"
"ENSMFAG00000044324","ENSMFAG00000044324","ENSMUSG00000053318",74748,"ENSMFAG00000044324.74748","Slamf8"
"ENSMFAG00000037670","ENSMFAG00000037670","ENSMUSG00000028532",320508,"ENSMFAG00000037670.320508","Cachd1"
"ENSMFAG00000000457","ENSMFAG00000000457","ENSMUSG00000032527",66904,"ENSMFAG00000000457.66904","Pccb"
"ENSMFAG00000042908","ENSMFAG00000042908","ENSMUSG00000028541",53418,"ENSMFAG00000042908.53418","B4galt2"
"ENSMFAG00000032747","ENSMFAG00000032747","ENSMUSG00000028617",77809,"ENSMFAG00000032747.77809","Lrrc42"
"ENSMFAG00000003366","ENSMFAG00000003366","ENSMUSG00000074653",320352,"ENSMFAG00000003366.320352","Lrrc31"
"ENSMFAG00000042527","ENSMFAG00000042527","ENSMUSG00000025328",18601,"ENSMFAG00000042527.18601","Padi3"
"ENSMFAG00000043841","ENSMFAG00000043841","ENSMUSG00000042751",226518,"ENSMFAG00000043841.226518","Nmnat2"
"ENSMFAG00000030860","ENSMFAG00000030860","ENSMUSG00000043441",229357,"ENSMFAG00000030860.229357","Gpr149"
"ENSMFAG00000008338","ENSMFAG00000008338","ENSMUSG00000027933",229543,"ENSMFAG00000008338.229543","Ints3"
"ENSMFAG00000038293","ENSMFAG00000038293","ENSMUSG00000048458",109050,"ENSMFAG00000038293.109050","Inka2"
"ENSMFAG00000039633","ENSMFAG00000039633","ENSMUSG00000027820",17380,"ENSMFAG00000039633.17380","Mme"
"ENSMFAG00000046258","ENSMFAG00000046258","ENSMUSG00000025329",18599,"ENSMFAG00000046258.18599","Padi1"
"ENSMFAG00000042171","ENSMFAG00000042171","ENSMUSG00000008763",17156,"ENSMFAG00000042171.17156","Man1a2"
"ENSMFAG00000041915","ENSMFAG00000041915","ENSMUSG00000026409",18640,"ENSMFAG00000041915.18640","Pfkfb2"
"ENSMFAG00000002038","ENSMFAG00000002038","ENSMUSG00000060477",108960,"ENSMFAG00000002038.108960","Irak2"
"ENSMFAG00000000391","ENSMFAG00000000391","ENSMUSG00000063172",72938,"ENSMFAG00000000391.72938","Ift25"
"ENSMFAG00000043562","ENSMFAG00000043562","ENSMUSG00000028089",68058,"ENSMFAG00000043562.68058","Chd1l"
"ENSMFAG00000034906","ENSMFAG00000034906","ENSMUSG00000028059",16800,"ENSMFAG00000034906.16800","Arhgef2"
"ENSMFAG00000045730","ENSMFAG00000045730","ENSMUSG00000029028",72946,"ENSMFAG00000045730.72946","Lrrc47"
"ENSMFAG00000034202","ENSMFAG00000034202","ENSMUSG00000068798",109905,"ENSMFAG00000034202.109905","Rap1a"
"ENSMFAG00000041705","ENSMFAG00000041705","ENSMUSG00000032437",68292,"ENSMFAG00000041705.68292","Stt3b"
"ENSMFAG00000024825","ENSMFAG00000024825","ENSMUSG00000069733",381534,"ENSMFAG00000024825.381534","Ube2u"
"ENSMFAG00000042232","ENSMFAG00000042232","ENSMUSG00000034456",243537,"ENSMFAG00000042232.243537","Uroc1"
"ENSMFAG00000036068","ENSMFAG00000036068","ENSMUSG00000026580",20344,"ENSMFAG00000036068.20344","Selp"
"ENSMFAG00000037196","ENSMFAG00000037196","ENSMUSG00000033149",208177,"ENSMFAG00000037196.208177","Phldb2"
"ENSMFAG00000041475","ENSMFAG00000041475","ENSMUSG00000078350",68859,"ENSMFAG00000041475.68859","Smim1"
"ENSMFAG00000008984","ENSMFAG00000008984","ENSMUSG00000028629",73172,"ENSMFAG00000008984.73172","Exo5"
"ENSMFAG00000031291","ENSMFAG00000031291","ENSMUSG00000038806",208768,"ENSMFAG00000031291.208768","Sde2"
"ENSMFAG00000038286","ENSMFAG00000038286","ENSMUSG00000015829",21960,"ENSMFAG00000038286.21960","Tnr"
"ENSMFAG00000040306","ENSMFAG00000040306","ENSMUSG00000028927",18600,"ENSMFAG00000040306.18600","Padi2"
"ENSMFAG00000024408","ENSMFAG00000024408","ENSMUSG00000028718",20460,"ENSMFAG00000024408.20460","Stil"
"ENSMFAG00000044546","ENSMFAG00000044546","ENSMUSG00000051860",75953,"ENSMFAG00000044546.75953","Samd7"
"ENSMFAG00000044226","ENSMFAG00000044226","ENSMUSG00000056952",381801,"ENSMFAG00000044226.381801","Tatdn2"
"ENSMFAG00000033058","ENSMFAG00000033058","ENSMUSG00000027931",18160,"ENSMFAG00000033058.18160","Npr1"
"ENSMFAG00000041091","ENSMFAG00000041091","ENSMUSG00000035305",26563,"ENSMFAG00000041091.26563","Ror1"
"ENSMFAG00000034074","ENSMFAG00000034074","ENSMUSG00000034785",13370,"ENSMFAG00000034074.13370","Dio1"
"ENSMFAG00000039059","ENSMFAG00000039059","ENSMUSG00000039492",381580,"ENSMFAG00000039059.381580","Ccdc27"
"ENSMFAG00000037308","ENSMFAG00000037308","ENSMUSG00000039630",51810,"ENSMFAG00000037308.51810","Hnrnpu"
"ENSMFAG00000040291","ENSMFAG00000040291","ENSMUSG00000021903",78754,"ENSMFAG00000040291.78754","Galnt15"
"ENSMFAG00000002528","ENSMFAG00000002528","ENSMUSG00000074344",69296,"ENSMFAG00000002528.69296","Tmigd3"
"ENSMFAG00000046123","ENSMFAG00000046123","ENSMUSG00000025437",170822,"ENSMFAG00000046123.170822","Usp33"
"ENSMFAG00000042617","ENSMFAG00000042617","ENSMUSG00000026581",20343,"ENSMFAG00000042617.20343","Sell"
"ENSMFAG00000003201","ENSMFAG00000003201","ENSMUSG00000028060",74200,"ENSMFAG00000003201.74200","Khdc4"
"ENSMFAG00000030569","ENSMFAG00000030569","ENSMUSG00000046404",226418,"ENSMFAG00000030569.226418","Yod1"
"ENSMFAG00000038294","ENSMFAG00000038294","ENSMUSG00000064141",381549,"ENSMFAG00000038294.381549","Zfp69"
"ENSMFAG00000032846","ENSMFAG00000032846","ENSMUSG00000033365",230673,"ENSMFAG00000032846.230673","Ipo13"
"ENSMFAG00000031653","ENSMFAG00000031653","ENSMUSG00000042772",226517,"ENSMFAG00000031653.226517","Smg7"
"ENSMFAG00000040289","ENSMFAG00000040289","ENSMUSG00000070524",435653,"ENSMFAG00000040289.435653","Fcrlb"
"ENSMFAG00000001279","ENSMFAG00000001279","ENSMUSG00000026582",20339,"ENSMFAG00000001279.20339","Sele"
"ENSMFAG00000017749","ENSMFAG00000017749","ENSMUSG00000027706",69276,"ENSMFAG00000017749.69276","Sec62"
"ENSMFAG00000035930","ENSMFAG00000035930","ENSMUSG00000034430",80292,"ENSMFAG00000035930.80292","Zxdc"
"ENSMFAG00000043669","ENSMFAG00000043669","ENSMUSG00000064177",58991,"ENSMFAG00000043669.58991","Ghrl"
"ENSMFAG00000034178","ENSMFAG00000034178","ENSMUSG00000056880",73748,"ENSMFAG00000034178.73748","Gadl1"
"ENSMFAG00000045670","ENSMFAG00000045670","ENSMUSG00000026499",170760,"ENSMFAG00000045670.170760","Acbd3"
"ENSMFAG00000037537","ENSMFAG00000037537","ENSMUSG00000028539",11876,"ENSMFAG00000037537.11876","Artn"
"ENSMFAG00000034319","ENSMFAG00000034319","ENSMUSG00000074342",433638,"ENSMFAG00000034319.433638","I830077J02Rik"
"ENSMFAG00000004655","ENSMFAG00000004655","ENSMUSG00000042554",22789,"ENSMFAG00000004655.22789","Zp3r"
"ENSMFAG00000039230","ENSMFAG00000039230","ENSMUSG00000033233",229644,"ENSMFAG00000039230.229644","Trim45"
"ENSMFAG00000022253","ENSMFAG00000022253","ENSMUSG00000041396",69962,"ENSMFAG00000022253.69962","Mettl18"
"ENSMFAG00000038697","ENSMFAG00000038697","ENSMUSG00000038421",98752,"ENSMFAG00000038697.98752","Fcrla"
"ENSMFAG00000002744","ENSMFAG00000002744","ENSMUSG00000028088",14263,"ENSMFAG00000002744.14263","Fmo5"
"ENSMFAG00000042166","ENSMFAG00000042166","ENSMUSG00000036834",269437,"ENSMFAG00000042166.269437","Plch1"
"ENSMFAG00000035826","ENSMFAG00000035826","ENSMUSG00000036622",74772,"ENSMFAG00000035826.74772","Atp13a2"
"ENSMFAG00000044100","ENSMFAG00000044100","ENSMUSG00000032870",69780,"ENSMFAG00000044100.69780","Smap2"
"ENSMFAG00000043807","ENSMFAG00000043807","ENSMUSG00000029026",22062,"ENSMFAG00000043807.22062","Trp73"
"ENSMFAG00000039080","ENSMFAG00000039080","ENSMUSG00000041406",381306,"ENSMFAG00000039080.381306","Firrm"
"ENSMFAG00000043408","ENSMFAG00000043408","ENSMUSG00000039068",108946,"ENSMFAG00000043408.108946","Zzz3"
"ENSMFAG00000002324","ENSMFAG00000002324","ENSMUSG00000028716",67182,"ENSMFAG00000002324.67182","Pdzk1ip1"
"ENSMFAG00000037200","ENSMFAG00000037200","ENSMUSG00000030298",110379,"ENSMFAG00000037200.110379","Sec13"
"ENSMFAG00000039413","ENSMFAG00000039413","ENSMUSG00000068923",229521,"ENSMFAG00000039413.229521","Syt11"
"ENSMFAG00000043752","ENSMFAG00000043752","ENSMUSG00000026544",68440,"ENSMFAG00000043752.68440","Dusp23"
"ENSMFAG00000003965","ENSMFAG00000003965","ENSMUSG00000032440",21813,"ENSMFAG00000003965.21813","Tgfbr2"
"ENSMFAG00000045452","ENSMFAG00000045452","ENSMUSG00000001017",66511,"ENSMFAG00000045452.66511","Chtop"
"ENSMFAG00000028569","ENSMFAG00000028569","ENSMUSG00000028626",12840,"ENSMFAG00000028569.12840","Col9a2"
"ENSMFAG00000030055","ENSMFAG00000030055","ENSMUSG00000000561",70465,"ENSMFAG00000030055.70465","Wdr77"
"ENSMFAG00000039162","ENSMFAG00000039162","ENSMUSG00000026500",66359,"ENSMFAG00000039162.66359","Cox20"
"ENSMFAG00000033865","ENSMFAG00000033865","ENSMUSG00000086564",630146,"ENSMFAG00000033865.630146","Cd101"
"ENSMFAG00000038821","ENSMFAG00000038821","ENSMUSG00000028538",20441,"ENSMFAG00000038821.20441","St3gal3"
"ENSMFAG00000040178","ENSMFAG00000040178","ENSMUSG00000038205",108097,"ENSMFAG00000040178.108097","Prkab2"
"ENSMFAG00000001110","ENSMFAG00000001110","ENSMUSG00000058729",72568,"ENSMFAG00000001110.72568","Lin9"
"ENSMFAG00000041764","ENSMFAG00000041764","ENSMUSG00000037942",12944,"ENSMFAG00000041764.12944","Crp"
"ENSMFAG00000042548","ENSMFAG00000042548","ENSMUSG00000048794",243538,"ENSMFAG00000042548.243538","Cfap100"
"ENSMFAG00000041049","ENSMFAG00000041049","ENSMUSG00000034762",230587,"ENSMFAG00000041049.230587","Glis1"
"ENSMFAG00000044167","ENSMFAG00000044167","ENSMUSG00000043207",230709,"ENSMFAG00000044167.230709","Zmpste24"
"ENSMFAG00000000631","ENSMFAG00000000631","ENSMUSG00000047155",81906,"ENSMFAG00000000631.81906","Cyp4x1"
"ENSMFAG00000033986","ENSMFAG00000033986","ENSMUSG00000037286",20842,"ENSMFAG00000033986.20842","Stag1"
"ENSMFAG00000028035","ENSMFAG00000028035","ENSMUSG00000037661",71862,"ENSMFAG00000028035.71862","Gpr160"
"ENSMFAG00000041335","ENSMFAG00000041335","ENSMUSG00000044080",20193,"ENSMFAG00000041335.20193","S100a1"
"ENSMFAG00000001728","ENSMFAG00000001728","ENSMUSG00000029029",59002,"ENSMFAG00000001728.59002","Wrap73"
"ENSMFAG00000002890","ENSMFAG00000002890","ENSMUSG00000026584",240880,"ENSMFAG00000002890.240880","Scyl3"
"ENSMFAG00000043743","ENSMFAG00000043743","ENSMUSG00000026659",80915,"ENSMFAG00000043743.80915","Dusp12"
"ENSMFAG00000038301","ENSMFAG00000038301","ENSMUSG00000027864",19221,"ENSMFAG00000038301.19221","Ptgfrn"
"ENSMFAG00000045968","ENSMFAG00000045968","ENSMUSG00000060572",17150,"ENSMFAG00000045968.17150","Mfap2"
"ENSMFAG00000032020","ENSMFAG00000032020","ENSMUSG00000074457",67860,"ENSMFAG00000032020.67860","S100a16"
"ENSMFAG00000032549","ENSMFAG00000032549","ENSMUSG00000026502",78825,"ENSMFAG00000032549.78825","Desi2"
"ENSMFAG00000002322","ENSMFAG00000002322","ENSMUSG00000064044",258493,"ENSMFAG00000002322.258493","Or2ak6"
"ENSMFAG00000034315","ENSMFAG00000034315","ENSMUSG00000074340",12659,"ENSMFAG00000034315.12659","Ovgp1"
"ENSMFAG00000040855","ENSMFAG00000040855","ENSMUSG00000028610",56296,"ENSMFAG00000040855.56296","Dmrtb1"
"ENSMFAG00000035358","ENSMFAG00000035358","ENSMUSG00000040782",26374,"ENSMFAG00000035358.26374","Cop1"
"ENSMFAG00000036150","ENSMFAG00000036150","ENSMUSG00000027863",12481,"ENSMFAG00000036150.12481","Cd2"
"ENSMFAG00000003648","ENSMFAG00000003648","ENSMUSG00000094018",628324,"ENSMFAG00000003648.628324","S100a2"
"ENSMFAG00000043368","ENSMFAG00000043368","ENSMUSG00000039058",229949,"ENSMFAG00000043368.229949","Ak5"
"ENSMFAG00000036747","ENSMFAG00000036747","ENSMUSG00000040860",230872,"ENSMFAG00000036747.230872","Crocc"
"ENSMFAG00000031207","ENSMFAG00000031207","ENSMUSG00000028713",13120,"ENSMFAG00000031207.13120","Cyp4b1"
"ENSMFAG00000042703","ENSMFAG00000042703","ENSMUSG00000001021",20197,"ENSMFAG00000042703.20197","S100a3"
"ENSMFAG00000002550","ENSMFAG00000002550","ENSMUSG00000030087",66277,"ENSMFAG00000002550.66277","Klf15"
"ENSMFAG00000038683","ENSMFAG00000038683","ENSMUSG00000078577",69469,"ENSMFAG00000038683.69469","Tmco2"
"ENSMFAG00000034130","ENSMFAG00000034130","ENSMUSG00000037652",241915,"ENSMFAG00000034130.241915","Phc3"
"ENSMFAG00000038084","ENSMFAG00000038084","ENSMUSG00000010136",100503311,"ENSMFAG00000038084.100503311","Cimap3"
"ENSMFAG00000002526","ENSMFAG00000002526","ENSMUSG00000026496",11545,"ENSMFAG00000002526.11545","Parp1"
"ENSMFAG00000034151","ENSMFAG00000034151","ENSMUSG00000030302",11941,"ENSMFAG00000034151.11941","Atp2b2"
"ENSMFAG00000036375","ENSMFAG00000036375","ENSMUSG00000026480",17970,"ENSMFAG00000036375.17970","Ncf2"
"ENSMFAG00000038669","ENSMFAG00000038669","ENSMUSG00000033326",230674,"ENSMFAG00000038669.230674","Kdm4a"
"ENSMFAG00000000910","ENSMFAG00000000910","ENSMUSG00000042035",78908,"ENSMFAG00000000910.78908","Igsf3"
"ENSMFAG00000046115","ENSMFAG00000046115","ENSMUSG00000001023",20199,"ENSMFAG00000046115.20199","S100a5"
"ENSMFAG00000001299","ENSMFAG00000001299","ENSMUSG00000049878",109263,"ENSMFAG00000001299.109263","Rlf"
"ENSMFAG00000037093","ENSMFAG00000037093","ENSMUSG00000029030",67808,"ENSMFAG00000037093.67808","Tprg1l"
"ENSMFAG00000045739","ENSMFAG00000045739","ENSMUSG00000014496",105522,"ENSMFAG00000045739.105522","Ankrd28"
"ENSMFAG00000032857","ENSMFAG00000032857","ENSMUSG00000001025",20200,"ENSMFAG00000032857.20200","S100a6"
"ENSMFAG00000033300","ENSMFAG00000033300","ENSMUSG00000039607",207181,"ENSMFAG00000033300.207181","Rbms3"
"ENSMFAG00000033601","ENSMFAG00000033601","ENSMUSG00000039047",329777,"ENSMFAG00000033601.329777","Pigk"
"ENSMFAG00000044331","ENSMFAG00000044331","ENSMUSG00000043880",258373,"ENSMFAG00000044331.258373","Or11l3"
"ENSMFAG00000035398","ENSMFAG00000035398","ENSMUSG00000053963",381310,"ENSMFAG00000035398.381310","Stum"
"ENSMFAG00000036907","ENSMFAG00000036907","ENSMUSG00000033295",19268,"ENSMFAG00000036907.19268","Ptprf"
"ENSMFAG00000024756","ENSMFAG00000024756","ENSMUSG00000005338",94332,"ENSMFAG00000024756.94332","Cadm3"
"ENSMFAG00000030675","ENSMFAG00000030675","ENSMUSG00000026585",16579,"ENSMFAG00000030675.16579","Kifap3"
"ENSMFAG00000041884","ENSMFAG00000041884","ENSMUSG00000039037",26938,"ENSMFAG00000041884.26938","St6galnac5"
"ENSMFAG00000035876","ENSMFAG00000035876","ENSMUSG00000038855",320404,"ENSMFAG00000035876.320404","Itpkb"
"ENSMFAG00000045741","ENSMFAG00000045741","ENSMUSG00000038403",69585,"ENSMFAG00000045741.69585","Hjv"
"ENSMFAG00000040580","ENSMFAG00000040580","ENSMUSG00000073530",23850,"ENSMFAG00000040580.23850","Pappa2"
"ENSMFAG00000036678","ENSMFAG00000036678","ENSMUSG00000008475",67771,"ENSMFAG00000036678.67771","Arpc5"
"ENSMFAG00000043175","ENSMFAG00000043175","ENSMUSG00000059089",246256,"ENSMFAG00000043175.246256","Fcgr4"
"ENSMFAG00000026603","ENSMFAG00000026603","ENSMUSG00000054054",258196,"ENSMFAG00000026603.258196","Or13g1"
"ENSMFAG00000046327","ENSMFAG00000046327","ENSMUSG00000038393",56338,"ENSMFAG00000046327.56338","Txnip"
"ENSMFAG00000031835","ENSMFAG00000031835","ENSMUSG00000037860",383619,"ENSMFAG00000031835.383619","Aim2"
"ENSMFAG00000042910","ENSMFAG00000042910","ENSMUSG00000037643",18759,"ENSMFAG00000042910.18759","Prkci"
"ENSMFAG00000038282","ENSMFAG00000038282","ENSMUSG00000052544",20447,"ENSMFAG00000038282.20447","St6galnac3"
"ENSMFAG00000029038","ENSMFAG00000029038","ENSMUSG00000028657",19063,"ENSMFAG00000029038.19063","Ppt1"
"ENSMFAG00000039810","ENSMFAG00000039810","ENSMUSG00000030088",107747,"ENSMFAG00000039810.107747","Aldh1l1"
"ENSMFAG00000000107","ENSMFAG00000000107","ENSMUSG00000010609",19165,"ENSMFAG00000000107.19165","Psen2"
